Product,min,max,mean
AAA Batteries (4-pack),2.99,2.99,2.989999999999419
AA Batteries (4-pack),3.84,3.84,3.8399999999980117
USB-C Charging Cable,11.95,11.95,11.950000000004783
Wired Headphones,11.99,11.99,11.989999999997403
Lightning Charging Cable,14.95,14.95,14.950000000006098
Bose SoundSport Headphones,99.99,99.99,99.98999999999184
20in Monitor,109.99,109.99,109.98999999999407
27in FHD Monitor,149.99,149.99,149.98999999999205
Apple Airpods Headphones,150.0,150.0,150.0
Flatscreen TV,300.0,300.0,300.0
34in Ultrawide Monitor,379.99,379.99,379.9900000000163
27in 4K Gaming Monitor,389.99,389.99,389.9900000000232
Vareebadd Phone,400.0,400.0,400.0
Google Phone,600.0,600.0,600.0
LG Washing Machine,600.0,600.0,600.0
LG Dryer,600.0,600.0,600.0
iPhone,700.0,700.0,700.0
ThinkPad Laptop,999.99,999.99,999.9900000001056
Macbook Pro Laptop,1700.0,1700.0,1700.0
