Product,Price Each,Quantity Ordered,Total income
AAA Batteries (4-pack),2.99,31017,92740.83000001567
AA Batteries (4-pack),3.84,27635,106118.39999995477
Wired Headphones,11.99,20557,246478.42999995087
USB-C Charging Cable,11.95,23975,286501.2500001048
Lightning Charging Cable,14.95,23217,347094.1500001345
LG Dryer,600.0,646,387600.0
LG Washing Machine,600.0,666,399600.0
20in Monitor,109.99,4129,454148.7099999756
Vareebadd Phone,400.0,2068,827200.0
27in FHD Monitor,149.99,7550,1132424.49999994
Bose SoundSport Headphones,99.99,13457,1345565.4299998903
Flatscreen TV,300.0,4819,1445700.0
Apple Airpods Headphones,150.0,15661,2349150.0
34in Ultrawide Monitor,379.99,6199,2355558.0100001046
27in 4K Gaming Monitor,389.99,6244,2435097.560000147
Google Phone,600.0,5532,3319200.0
ThinkPad Laptop,999.99,4130,4129958.700000436
iPhone,700.0,6849,4794300.0
Macbook Pro Laptop,1700.0,4728,8037600.0
